NOMBREPROYEC,URL,CARRERA,FACULTAD
Creación de un documental sobre las afectaciones del terremoto de Ecuador del 16 de abril de 2016 en la ciudad de Manta,https://dspace.espol.edu.ec/handle/123456789/54039,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Realización de contenido transmedia de la reparación de un vehículo Ford modelo A,https://dspace.espol.edu.ec/handle/123456789/54067,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Dirección de arte del programa piloto de televisión “TUhogar”,https://dspace.espol.edu.ec/handle/123456789/54775,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Como vestirse para una entrevista de trabajo.,https://dspace.espol.edu.ec/handle/123456789/54183,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Proyecto Marea Roja (FIMCBOR).,https://dspace.espol.edu.ec/handle/123456789/54063,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Lunes Culturales,https://dspace.espol.edu.ec/handle/123456789/54109,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Video Promocional de la Licenciatura en Arqueología,https://dspace.espol.edu.ec/handle/123456789/54793,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Realización de reportaje audiovisual sobre la cultura maker en Guayaquil.,https://dspace.espol.edu.ec/handle/123456789/54168,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
El Sobreendeudamiento en los ecuatorianos,https://dspace.espol.edu.ec/handle/123456789/53997,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Programa piloto “Eureka”,https://dspace.espol.edu.ec/handle/123456789/54060,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Realización del segmento educativo “La Casa de Pekeñeke”,https://dspace.espol.edu.ec/handle/123456789/54152,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Documental Spondylus,https://dspace.espol.edu.ec/handle/123456789/54050,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Plan de negocio para la creación de una empresa dedicada al desarrollo de guías audiovisuales interactivas de los lugares turísticos del Ecuador,https://dspace.espol.edu.ec/handle/123456789/54631,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Proceso de dirección de arte del programa guerra en la cocina,https://dspace.espol.edu.ec/handle/123456789/53269,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Programa Campus Deportivo Episodio Inauguración Metropolitécnico Bonus Clausura.,https://dspace.espol.edu.ec/handle/123456789/54113,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Mareas Rojas en las costas ecuatorianas,https://dspace.espol.edu.ec/handle/123456789/54792,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Proyecto de creación de un documental en 2D de ciencia y tecnología,https://dspace.espol.edu.ec/handle/123456789/52518,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Diseño de elementos mobiliarios para apoyo a la producción y logística interna de la industria panificadora Cyrano-Corfú,https://dspace.espol.edu.ec/handle/123456789/65718,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Diseño y Producción de una Propuesta de Programa Televisivo de Carácter Científico y Tecnológico Para Jóvenes,https://dspace.espol.edu.ec/handle/123456789/53050,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Programa e investigación de los factores de riesgo del virus dengue,https://dspace.espol.edu.ec/handle/123456789/54790,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Memoria Audiovisual del Proyecto integrador de los estudiantes de EDCOM en Manta.,https://dspace.espol.edu.ec/handle/123456789/54037,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Campaña para promover la Nutrición saludable a nivel escolar en la ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/58664,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Dirección de arte de un programa de televisión “¡Qué Monada!”,https://dspace.espol.edu.ec/handle/123456789/53052,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
"“Guayaquil Tropical, el último rincón del Caribe” .",https://dspace.espol.edu.ec/handle/123456789/54236,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
"Producción de documental/dramatizado con contenido social (fase de producción: dirección, dirección de fotografía e iluminación y dirección de actores). Manual de diseño.",https://dspace.espol.edu.ec/handle/123456789/57867,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Las Matemáticas en los estudiantes de Ecuador Revalorizando las matemáticas,https://dspace.espol.edu.ec/handle/123456789/54028,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Proyecto de creación de un video promocional para el Centro de Lenguas Extranjeras CELEX-ESPOL,https://dspace.espol.edu.ec/handle/123456789/53057,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Vídeo Promocional de la Facultad de Ingeniería Mecánica y Ciencias de la Producción,https://dspace.espol.edu.ec/handle/123456789/54040,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Dirección de arte del programa investigativo “¿alguna duda?”,https://dspace.espol.edu.ec/handle/123456789/54635,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Creación de la identidad corporativa para el proyecto sobre la estrategia de Resiliencia Climática en el cantón Durán.,https://dspace.espol.edu.ec/handle/123456789/53929,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Video participativo con niños damnificados de Manta,https://dspace.espol.edu.ec/handle/123456789/54157,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Proceso de producción de un disco,https://dspace.espol.edu.ec/handle/123456789/55150,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Realización de un documental sobre el programa de Vínculos con la Sociedad “Reducción del tiempo de espera promedio en sala de emergencia del Hospital León Becerra”,https://dspace.espol.edu.ec/handle/123456789/54035,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
IV Reencuentro de Ex-Alumnos de FCSH,https://dspace.espol.edu.ec/handle/123456789/53966,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
"Corto documental: Detrás de las huellas, la historia detrás de Marcando Huellas",https://dspace.espol.edu.ec/handle/123456789/53924,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Campus Deportivo-Balonmano,https://dspace.espol.edu.ec/handle/123456789/54147,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Programa educativo infantil sobre las matemáticas “Explorando Ando”.,https://dspace.espol.edu.ec/handle/123456789/54025,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
CIBE: Tecnología de lo vivo.,https://dspace.espol.edu.ec/handle/123456789/54169,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
"Realización de un video documental mostrando el origen de una tradicional fiesta, la evolución histórica y la cultura del cantón Píllaro",https://dspace.espol.edu.ec/handle/123456789/53862,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Cápsulas informativas sobre los tipos de licencias que ofrece Conduespol.,https://dspace.espol.edu.ec/handle/123456789/54238,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Variabilidad Bacteriana por influencia de la producción de larvas de camarón.,https://dspace.espol.edu.ec/handle/123456789/54066,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Evaluación sobre una campaña de marketing y publicidad para una microempresa de diseño e impresión en la ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/10471,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Cápsulas infantiles sobre el uso responsable del agua.,https://dspace.espol.edu.ec/handle/123456789/54019,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Preproducción de la serie de animación stopmotion ―cuenta-cuentos‖ con contenido sociocultural de la provincia del Guayas,https://dspace.espol.edu.ec/handle/123456789/54126,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Corto documental: Producción de un documental del Bosque Protector Prosperina,https://dspace.espol.edu.ec/handle/123456789/53938,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Determinación de un Flujo de un Río.,https://dspace.espol.edu.ec/handle/123456789/54241,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Hora Cero,https://dspace.espol.edu.ec/handle/123456789/53922,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Propuesta de desarrollo de video institucional para la Fundación “Paz y Esperanza”,https://dspace.espol.edu.ec/handle/123456789/10521,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Video Institucional “Bienvenidos a la FCSH“ para la Facultad de Ciencias Sociales y Humanísticas,https://dspace.espol.edu.ec/handle/123456789/54022,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Mésak,https://dspace.espol.edu.ec/handle/123456789/53902,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Evaluación de la implementación de un departamento de comunicación para ESPOL,https://dspace.espol.edu.ec/handle/123456789/10294,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Campus Deportivo: Levantamiento de Potencia.,https://dspace.espol.edu.ec/handle/123456789/54150,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Realización de un Documental Sobre la Contaminación Acústica y su Repercusión en la Salud Humana en el Centro y Norte de la Ciudad de Guayaquil.,https://dspace.espol.edu.ec/handle/123456789/54360,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Campaña social sobre la donación voluntaria de sangre para La Sociedad de Lucha Contra el Cáncer del Ecuador (SOLCA) dirigida a estudiantes universitarios,https://dspace.espol.edu.ec/handle/123456789/53673,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Monitoreo de Clorofila-a en Zonas Costeras por Medio de Drones,https://dspace.espol.edu.ec/handle/123456789/54086,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Cortometraje “A y B”.,https://dspace.espol.edu.ec/handle/123456789/54220,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Estudio de Factibilidad Para la Creación de una Editora Audiovisual.,https://dspace.espol.edu.ec/handle/123456789/54592,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
“NO TAN DIFERENTE”,https://dspace.espol.edu.ec/handle/123456789/53908,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Rediseño de la imagen corporativa y elaboración de campaña de posicionamiento del centro comercial Albán Borja en la ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/54363,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Realización de cápsulas promocionales para la carrera de Ingeniería en Computación de FIEC- ESPOL,https://dspace.espol.edu.ec/handle/123456789/53958,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Creación de un documental para la difusión de la cultura de los ebanistas en la Parroquia Atahualpa.,https://dspace.espol.edu.ec/handle/123456789/54074,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Material audiovisual infantil para el Centro Infantil del Buen Vivir “Niño Jesús”,https://dspace.espol.edu.ec/handle/123456789/54149,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Estudio para la creación de una  agencia de licenciamiento de material audiovisual ecuatoriano on-line,https://dspace.espol.edu.ec/handle/123456789/55146,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Documental Coro ESPOL,https://dspace.espol.edu.ec/handle/123456789/54158,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Producción de un documental sobre la importancia de la cerámica artesanal en la ciudad de Cuenca.,https://dspace.espol.edu.ec/handle/123456789/53932,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Kayak y Triatlón dos Deportes de la Espol,https://dspace.espol.edu.ec/handle/123456789/54081,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
